ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe,far_depletion,imb_signed
1784906040,2026-07-24,1,40.38333333333333,0.152428810720268,2.0982721095540047,VIOLENT-WHIPSAW,US,45.5,60.575,121.15,28496.0,28617.15,121.15,240.8,TARGET,53.0,135.25,0.5051944914230491,0.017001841536053417
1784915100,2026-07-24,-1,15.983333333333333,0.4080338266384778,-2.6933258974622065,CLEAN-TREND,US,-48.25,23.975,47.95,28459.5,28483.75,-24.25,-50.0,STOP,1.2,200.5,0.5016187050359712,0.020475712905430644
1784917980,2026-07-24,-1,17.216666666666665,0.9322033898305084,-3.3350785611973683,CLEAN-TREND,US,-110.0,25.825,51.64999999999999,28305.75,28254.1,51.65,101.8,TARGET,33.4,93.25,0.5304061470911087,-0.058697743647889204
1785114960,2026-07-27,-1,17.733333333333334,0.492776886035313,-3.574789611738573,CLEAN-TREND,OVERNIGHT,-76.75,26.6,53.2,28558.0,28585.0,-27.0,-55.5,STOP,15.5,32.75,0.5095419847328244,0.02279507214312617
1785130500,2026-07-27,1,7.716666666666667,0.1634615384615384,4.157455571965926,DEAD-CHOP,OVERNIGHT,8.5,11.575,23.15,28691.75,28714.9,23.15,44.8,TARGET,27.2,36.75,0.5741346415917143,-0.19298326858144654
1785141720,2026-07-27,1,9.35,0.4715447154471545,2.897213321021833,BUILDING,PRE-OPEN,29.0,14.025,28.05,28735.75,28721.25,-14.5,-30.5,STOP,17.6,13.25,0.44107833978379823,0.06750286836736248
1785145560,2026-07-27,1,8.316666666666666,0.3170731707317073,3.1253840193500264,BUILDING,PRE-OPEN,26.0,12.475,24.95,28751.0,28738.25,-12.75,-27.0,STOP,23.3,12.75,0.4732532751091703,-0.04577116050136252
1785148980,2026-07-27,1,6.016666666666667,0.180722891566265,2.21064262420827,DEAD-CHOP,PRE-OPEN,7.5,9.025,18.05,28748.25,28738.75,-9.5,-20.5,STOP,16.0,10.5,0.5413046912020218,-0.0856438119648535
1785150060,2026-07-27,-1,6.9,0.4368932038834951,-2.2623228417873773,BUILDING,PRE-OPEN,-22.5,10.35,20.700000000000003,28724.5,28703.8,20.7,39.9,TARGET,18.0,78.75,0.5322525790726675,-0.0709762335322808
1785151560,2026-07-27,-1,8.816666666666666,0.5294117647058824,-2.33816852685194,BUILDING,PRE-OPEN,-38.25,13.225,26.45,28678.25,28651.8,26.45,51.4,TARGET,3.0,49.5,0.515790567213796,0.02158240905975827
1785154380,2026-07-27,-1,10.616666666666667,0.3529411764705882,-4.141011484108428,BUILDING,PRE-OPEN,-33.0,15.925,31.85,28641.25,28657.5,-16.25,-34.0,STOP,16.2,12.5,0.49200313164075604,0.03162652988875434
1785159120,2026-07-27,-1,21.7,0.9320388349514565,-5.502587523257418,CLEAN-TREND,US,-144.0,32.55,65.1,28520.75,28553.75,-33.0,-67.5,STOP,2.3,469.25,0.5473363454870233,-0.11688019432930008
1785159720,2026-07-27,-1,45.05,0.4362880886426593,-3.451143586387229,CLEAN-TREND,US,-157.5,67.57499999999999,135.14999999999998,28458.5,28323.35,135.15,268.8,TARGET,18.3,515.5,0.4792560801144492,-0.0031141326576495333
1785160980,2026-07-27,-1,38.16666666666666,0.567062818336163,-2.876504951156168,CLEAN-TREND,US,-167.0,57.24999999999999,114.49999999999996,28296.75,28182.25,114.5,227.5,TARGET,19.9,358.25,0.5371248025276462,-0.06082488435530613
1785162540,2026-07-27,-1,38.16666666666666,0.6053097345132743,-3.783783136963329,CLEAN-TREND,US,-171.0,57.24999999999999,114.49999999999996,28083.0,27968.5,114.5,227.5,TARGET,11.3,144.5,0.5156263912385362,-0.02530202981278052
1785169500,2026-07-27,1,30.883333333333333,0.1685185185185185,8.790696521360793,VIOLENT-WHIPSAW,US,45.5,46.325,92.65,28192.5,28145.75,-46.75,-95.0,STOP,3.5,12.0,0.4828732956434985,0.06991566743034948
1785178320,2026-07-27,1,23.183333333333334,0.4899328859060403,2.953482432969165,CLEAN-TREND,US,91.25,34.775,69.55,28139.5,28209.05,69.55,137.6,TARGET,14.1,115.5,0.48664025195570454,0.03831177380646315
1785191100,2026-07-27,-1,9.4,0.411371237458194,-3.060773886368608,BUILDING,OVERNIGHT,-30.75,14.1,28.200000000000003,28143.0,28157.5,-14.5,-30.5,STOP,10.4,38.0,0.5389221556886228,-0.06469789494822588
1785193260,2026-07-27,-1,7.566666666666666,0.3523809523809524,-2.2409556203414467,BUILDING,OVERNIGHT,-18.5,11.35,22.7,28113.25,28125.0,-11.75,-25.0,STOP,3.7,8.25,0.46638728828356907,0.06907449900340987
1785197400,2026-07-28,-1,21.966666666666665,0.3480314960629921,-2.2237990823985765,BUILDING,OVERNIGHT,-55.25,32.95,65.89999999999999,28117.0,28051.1,65.9,130.3,TARGET,49.4,128.75,0.45555555555555555,0.06518201185559394
1785208200,2026-07-28,-1,12.816666666666666,0.5835777126099707,-3.5212765927914047,CLEAN-TREND,OVERNIGHT,-49.75,19.225,38.45,27938.75,27958.25,-19.5,-40.5,STOP,2.3,5.75,0.5382808181315644,-0.14082996215580676
