t,open,high,low,close,volume,dlt,tvol,nticks,bid5,ask5,bid10,ask10,bid1s,ask1s,bid1p,ask1p,nsnap,atr20,er30,vwap30,hi30,lo30,hi60,lo60,dlt30s,dlt60s,tvol60s,tvol30m,mv30s,mv60s,dbid5_30s,dask5_30s,bid5_5m,ask5_5m,vwap30_10m,pos30,rng_atr,vslope,stretch,bkr_ask,bkr_bid,dask_n,dbid_n,dlt_n,absorb,at,day,hit,secs,revert,cont,farwall,far_refill,push,prog,vs_help,vs_flat,chop,tod
1784257470,28937.75,28943.0,28937.0,28942.75,281.0,51.0,255.0,137,32.0,45.0,65.0,109.0,4.0,6.0,28942.25,28942.75,20,11.65,0.09617918313570488,28919.780280685834,28943.0,28893.75,28982.25,28893.75,112.0,70.0,1030.0,30823.0,7.0,6.5,3.0,-1.0,28.566666666666666,32.083333333333336,28920.420908999866,0.9949238578680203,4.227467811158798,-0.05498955485247607,1.9716497265378161,1.40625,0.7111111111111111,-0.031168831168831165,0.10501750291715287,0.06796116504854369,9.333333333333334,HIGH,2026-07-17,UP,96.58200001716614,False,True,1.40625,-0.031168831168831165,0.06796116504854369,6.5,0.05498955485247607,0.05498955485247607,chop,ON
1784257530,28944.5,28945.5,28943.25,28944.25,74.0,-39.0,104.0,58,26.0,26.0,62.0,76.0,4.0,3.0,28944.25,28945.0,19,11.9125,0.15335868187579213,28921.518245478783,28948.75,28893.75,28982.25,28893.75,40.0,164.0,1721.0,31132.0,-4.25,1.5,-2.0,-27.0,28.6,31.916666666666668,28919.32921927909,0.9181818181818182,4.616998950682057,0.1837587575817257,1.9082270322113097,1.0,1.0,-0.8459530026109661,-0.06993006993006992,0.09529343404997094,65.6,HIGH,2026-07-17,UP,77.97900009155273,False,True,1.0,-0.8459530026109661,0.09529343404997094,1.5,-0.1837587575817257,0.1837587575817257,chop,ON
1784257595,28947.25,28948.75,28946.5,28947.75,40.0,-2.0,66.0,45,28.0,31.0,79.0,66.0,3.0,2.0,28947.5,28948.0,18,11.65,0.17121588089330025,28922.68679197115,28953.0,28893.75,28971.0,28893.75,-82.0,131.0,1152.0,31332.0,-1.75,5.75,-5.0,1.0,28.516666666666666,31.733333333333334,28918.8785604311,0.9113924050632911,5.085836909871245,0.3268868274720812,2.1513483286565447,1.1071428571428572,0.9032258064516129,0.031512605042016806,-0.17533606078316774,0.11371527777777778,19.40740740740741,HIGH,2026-07-17,UP,147.30800008773804,False,True,1.1071428571428572,0.031512605042016806,0.11371527777777778,5.75,-0.3268868274720812,0.3268868274720812,chop,ON
1784257655,28953.0,28953.25,28951.0,28951.25,85.0,28.0,91.0,45,26.0,35.0,70.0,76.0,1.0,3.0,28950.75,28951.25,20,11.4625,0.17936117936117937,28924.020532447525,28955.0,28893.75,28970.75,28893.75,105.0,118.0,932.0,31161.0,-1.25,3.5,-8.0,-3.0,29.416666666666668,33.05,28918.72042497694,0.9387755102040817,5.343511450381679,0.46238669318091397,2.375526067827734,1.3461538461538463,0.7428571428571429,-0.09077155824508322,-0.27195467422096314,0.12660944206008584,26.22222222222222,HIGH,2026-07-17,UP,358.3589999675751,False,True,1.3461538461538463,-0.09077155824508322,0.12660944206008584,3.5,-0.46238669318091397,0.46238669318091397,chop,ON
1784257720,28948.75,28951.5,28948.75,28950.75,54.0,-36.0,60.0,32,31.0,25.0,81.0,62.0,3.0,4.0,28950.25,28951.0,17,11.2,0.24331210191082803,28925.264601955532,28955.0,28893.75,28970.75,28893.75,-117.0,-37.0,796.0,30989.0,-0.75,-1.0,1.0,-1.0,29.783333333333335,31.466666666666665,28918.70883453836,0.9306122448979591,5.46875,0.5853363765332428,2.2754819682560474,0.8064516129032258,1.24,-0.03177966101694915,0.03357582540570789,-0.04648241206030151,18.5,HIGH,2026-07-17,UP,292.84500002861023,False,True,0.8064516129032258,-0.03177966101694915,-0.04648241206030151,-1.0,-0.5853363765332428,0.5853363765332428,chop,ON
1784257780,28952.25,28952.25,28951.0,28951.5,27.0,-12.0,32.0,20,29.0,23.0,77.0,70.0,5.0,2.0,28951.25,28951.75,13,10.7375,0.22137404580152673,28926.267664689753,28957.0,28893.75,28970.75,28893.75,35.0,91.0,831.0,31356.0,-4.5,0.75,-12.0,3.0,29.95,29.566666666666666,28918.394511395967,0.9130434782608695,5.89057043073341,0.7332389563478868,2.3499264549706576,0.7931034482758621,1.2608695652173914,0.10146561443066517,-0.4006677796327212,0.1095066185318893,52.0,HIGH,2026-07-17,UP,233.35899996757507,False,True,0.7931034482758621,0.10146561443066517,0.1095066185318893,0.75,-0.7332389563478868,0.7332389563478868,chop,ON
1784257840,28952.75,28953.75,28951.25,28951.25,58.0,37.0,61.0,31,28.0,26.0,74.0,65.0,3.0,2.0,28951.25,28951.75,18,10.7125,0.19947848761408082,28927.199070311737,28957.0,28893.75,28970.75,28893.75,40.0,-71.0,713.0,30778.0,2.0,-0.25,-8.0,0.0,30.866666666666667,29.533333333333335,28918.609638867238,0.9090909090909091,5.904317386231038,0.8018139038039203,2.245127625508783,0.9285714285714286,1.0769230769230769,0.0,-0.25917926565874727,-0.09957924263674614,56.8,HIGH,2026-07-17,UP,172.84500002861023,False,True,0.9285714285714286,0.0,-0.09957924263674614,-0.25,-0.8018139038039203,0.8018139038039203,chop,ON
1784257900,28952.0,28952.25,28951.25,28951.75,43.0,-9.0,45.0,24,36.0,24.0,83.0,65.0,5.0,2.0,28951.25,28951.75,15,10.65,0.16120218579234974,28927.77458301806,28957.0,28893.75,28970.75,28893.75,-11.0,20.0,542.0,30399.0,0.25,0.5,2.0,-8.0,31.233333333333334,29.35,28918.67750354427,0.9169960474308301,5.938967136150235,0.8541858660836978,2.251212862153888,0.6666666666666666,1.5,-0.272572402044293,0.064034151547492,0.03690036900369004,13.333333333333334,HIGH,2026-07-17,UP,113.35899996757507,False,True,0.6666666666666666,-0.272572402044293,0.03690036900369004,0.5,-0.8541858660836978,0.8541858660836978,chop,ON
1784257960,28950.75,28953.0,28949.75,28952.5,50.0,-21.0,46.0,19,36.0,21.0,78.0,94.0,5.0,1.0,28952.5,28953.0,15,10.225,0.20056497175141244,28928.48222004256,28957.0,28893.75,28970.5,28893.75,-52.0,-88.0,431.0,30082.0,1.75,0.75,12.0,-3.0,31.35,28.266666666666666,28918.71853548763,0.9288537549407114,6.185819070904646,0.9548835750540586,2.348927135202077,0.5833333333333334,1.7142857142857142,-0.10613207547169812,0.3827751196172249,-0.20417633410672853,50.285714285714285,HIGH,2026-07-17,UP,53.35899996757507,False,True,0.5833333333333334,-0.10613207547169812,-0.20417633410672853,0.75,-0.9548835750540586,0.9548835750540586,chop,ON
1784258020,28960.0,28960.75,28956.0,28957.0,171.0,104.0,179.0,93,36.0,27.0,69.0,70.0,6.0,5.0,28956.25,28957.0,20,10.05,0.26207906295754024,28929.740196589213,28960.75,28893.75,28962.75,28893.75,251.0,295.0,1133.0,28808.0,3.0,4.5,-4.0,6.0,31.85,29.316666666666666,28919.058131275626,0.9440298507462687,6.666666666666666,1.0628920710037186,2.7124182498295366,0.75,1.3333333333333333,0.20466173962478681,-0.12558869701726844,0.26037069726390116,53.63636363636363,HIGH,2026-07-17,UP,135.24799990653992,False,True,0.75,0.20466173962478681,0.26037069726390116,4.5,-1.0628920710037186,1.0628920710037186,chop,ON
1784258090,28953.0,28955.0,28953.0,28954.75,62.0,-5.0,64.0,17,35.0,50.0,80.0,101.0,5.0,24.0,28954.25,28955.0,15,10.2875,0.12953367875647667,28930.091353208547,28960.75,28893.75,28961.75,28893.75,-23.0,19.0,540.0,27945.0,0.75,-0.75,-4.0,-11.0,32.766666666666666,30.7,28920.55046814341,0.9104477611940298,6.512758201701094,0.9274250367082902,2.396952300505766,1.4285714285714286,0.7,-0.3583061889250814,-0.12207527975584945,0.03518518518518519,10.857142857142858,HIGH,2026-07-17,UP,65.24699997901917,False,True,1.4285714285714286,-0.3583061889250814,0.03518518518518519,-0.75,-0.9274250367082902,0.9274250367082902,chop,ON
1784258150,28958.75,28959.25,28958.0,28959.25,29.0,-1.0,37.0,19,28.0,21.0,74.0,59.0,3.0,3.0,28958.75,28959.5,16,10.025,0.13937282229965156,28930.926908417532,28961.25,28893.75,28961.75,28893.75,24.0,139.0,854.0,27813.0,0.0,4.5,-6.0,-20.0,33.18333333333333,30.933333333333334,28921.88234259585,0.9703703703703703,6.733167082294264,0.902201079469458,2.825246043138942,0.75,1.3333333333333333,-0.646551724137931,-0.18081366147664493,0.16276346604215455,25.272727272727273,HIGH,2026-07-17,UP,31.28500008583069,False,True,0.75,-0.646551724137931,0.16276346604215455,4.5,-0.902201079469458,0.902201079469458,chop,ON
1784258210,28963.5,28964.0,28962.25,28963.75,64.0,-40.0,68.0,33,30.0,37.0,71.0,93.0,2.0,2.0,28963.75,28964.25,14,9.575,0.24567474048442905,28932.720275444008,28968.75,28893.75,28968.75,28893.75,23.0,-59.0,1255.0,28207.0,-2.5,4.5,-3.0,-6.0,32.766666666666666,32.35,28922.932641869338,0.9333333333333333,7.832898172323761,1.022207161845389,3.2407023034978892,1.2333333333333334,0.8108108108108109,-0.1854714064914992,-0.09155645981688708,-0.04701195219123506,10.727272727272727,HIGH,2026-07-17,UP,38.61400008201599,False,True,1.2333333333333334,-0.1854714064914992,-0.04701195219123506,4.5,-1.022207161845389,1.022207161845389,chop,ON
1784258270,28969.75,28972.25,28969.75,28970.25,51.0,-8.0,50.0,29,39.0,34.0,87.0,91.0,4.0,3.0,28970.5,28971.25,18,9.3375,0.27335640138408307,28933.997483221476,28972.25,28893.75,28972.25,28893.75,12.0,59.0,833.0,28012.0,0.5,6.5,4.0,-11.0,33.766666666666666,34.31666666666667,28924.284452752352,0.9745222929936306,8.406961178045515,1.04021745318593,3.8824649829744895,0.8717948717948718,1.1470588235294117,-0.3205439533754249,0.11846001974333663,0.07082833133253301,7.866666666666666,HIGH,2026-07-17,UP,43.2039999961853,False,True,0.8717948717948718,-0.3205439533754249,0.07082833133253301,6.5,-1.04021745318593,1.04021745318593,chop,ON
1784258330,28978.0,28978.25,28975.5,28977.25,90.0,1.0,89.0,47,27.0,35.0,70.0,131.0,2.0,4.0,28977.25,28977.75,19,9.05,0.3023255813953488,28935.745622012982,28978.5,28893.75,28978.5,28893.75,3.0,2.0,869.0,28036.0,3.25,7.0,-8.0,-16.0,33.916666666666664,36.45,28925.352321561277,0.9852507374631269,9.3646408839779,1.1484309891387543,4.58611911458757,1.2962962962962963,0.7714285714285715,-0.438957475994513,-0.23587223587223588,0.0023014959723820483,0.25,HIGH,2026-07-17,UP,80.82599997520447,False,True,1.2962962962962963,-0.438957475994513,0.0023014959723820483,7.0,-1.1484309891387543,1.1484309891387543,trend,ON
1784258390,28980.0,28982.5,28979.75,28982.0,56.0,7.0,39.0,25,34.0,33.0,91.0,93.0,3.0,5.0,28981.75,28982.25,16,9.0125,0.4654867256637168,28938.43857015986,28982.5,28893.75,28982.5,28893.75,66.0,-22.0,1163.0,28133.0,6.75,4.75,2.0,3.0,32.86666666666667,38.483333333333334,28926.37618044921,0.9943661971830986,9.84743411927878,1.338406625314714,4.833445752026797,0.9705882352941176,1.0303030303030303,0.0779558250324816,0.060851926977687626,-0.018916595012897677,3.8260869565217392,HIGH,2026-07-17,UP,66.14599990844727,False,True,0.9705882352941176,0.0779558250324816,-0.018916595012897677,4.75,-1.338406625314714,1.338406625314714,trend,ON
1784258450,28984.75,28988.75,28984.75,28987.0,190.0,24.0,182.0,80,32.0,33.0,89.0,98.0,3.0,3.0,28986.75,28987.25,19,8.775,0.47294938917975565,28940.59037040927,28988.75,28893.75,28988.75,28893.75,-17.0,70.0,1015.0,28559.0,2.75,5.0,-4.0,-1.0,32.983333333333334,39.55,28927.258262033833,0.9815789473684211,10.826210826210826,1.519328589793517,5.288846677006189,1.03125,0.9696969696969697,-0.025284450063211127,-0.1212733703890854,0.06896551724137931,11.666666666666666,HIGH,2026-07-17,UP,83.10800004005432,False,True,1.03125,-0.025284450063211127,0.06896551724137931,5.0,-1.519328589793517,1.519328589793517,trend,ON
1784258510,28987.0,28989.5,28987.0,28989.5,104.0,62.0,99.0,39,26.0,24.0,65.0,87.0,1.0,3.0,28989.0,28989.5,16,8.7,0.5432525951557093,28943.24561061947,28990.0,28893.75,28990.0,28893.75,108.0,126.0,896.0,28248.0,0.25,2.5,-5.0,-38.0,33.416666666666664,40.016666666666666,28927.868845710524,0.9948051948051948,11.063218390804598,1.7674442424075767,5.3165964805207455,0.9230769230769231,1.0833333333333333,-0.9496043315285299,-0.14962593516209477,0.140625,36.0,HIGH,2026-07-17,UP,60.19799995422363,False,True,0.9230769230769231,-0.9496043315285299,0.140625,2.5,-1.7674442424075767,1.7674442424075767,trend,ON
